month,case_study,NDVI_change_90m,EVI_change_90m,region
1,1,-9999,-9999,Australia
2,1,0.017720659,0.091633528,Australia
3,1,-0.179348348,0.152667352,Australia
4,1,0.078248997,0.128253823,Australia
5,1,0.03742756,0.067219999,Australia
6,1,0.03742756,0.051525587,Australia
7,1,-9999,-9999,Australia
8,1,-9999,-9999,Australia
9,1,-9999,-9999,Australia
10,1,-9999,-9999,Australia
11,1,-9999,-9999,Australia
12,1,-9999,-9999,Australia
13,1,-0.0174702,0.010545734,Australia
14,1,-9999,-9999,Australia
15,1,0.048688646,0.121278528,Australia
16,1,-0.146972726,0.056757058,Australia
17,1,0.031797017,0.068963823,Australia
18,1,0.04376192,0.117790881,Australia
19,1,-9999,-9999,Australia
20,1,-0.031546593,0.027112058,Australia
21,1,-9999,-9999,Australia
22,1,-9999,-9999,Australia
23,1,-9999,-9999,Australia
24,1,0.012090116,0.116047058,Australia
25,1,-9999,-9999,Australia
1,2,-9999,-9999,Australia
2,2,-0.0405881,-0.033569498,Australia
3,2,-9999,-9999,Australia
4,2,0.02401417,0.07232927,Australia
5,2,-0.167043511,0.010624477,Australia
6,2,0.007519978,0.022298357,Australia
7,2,0.01920336,0.068993877,Australia
8,2,-9999,-9999,Australia
9,2,-0.054333227,-0.017726375,Australia
10,2,-9999,-9999,Australia
11,2,-9999,-9999,Australia
12,2,-9999,-9999,Australia
13,2,-0.011723241,0.06732618,Australia
14,2,0.0185161,0.04981536,Australia
15,2,0.03913384,0.070661574,Australia
16,2,0.015767072,0.057319997,Australia
17,2,0.01920336,0.084837,Australia
18,2,-0.05020968,-0.019394072,Australia
19,2,-0.043337101,-0.004384798,Australia
20,2,-0.194533824,-0.014390981,Australia
21,2,-9999,-9999,Australia
22,2,-0.204155434,-0.096108141,Australia
23,2,-0.135429651,-0.107782021,Australia
24,2,-9999,-9999,Australia
25,2,-9999,-9999,Australia
1,3,-9999,-9999,Australia
2,3,-9999,-9999,Australia
3,3,0.062154542,-0.015366048,Australia
4,3,-0.079466063,-0.214976679,Australia
5,3,-0.004320436,-0.023753049,Australia
6,3,0.034697486,-0.012011248,Australia
7,3,-9999,-9999,Australia
8,3,0.04409069,0.076890966,Australia
9,3,0.05131623,0.057600863,Australia
10,3,0.079495841,0.045020361,Australia
11,3,-9999,-9999,Australia
12,3,-9999,-9999,Australia
13,3,-9999,-9999,Australia
