N,Authors,Basin,Region,Area,Cyclone_name,Site,Longitude,Latitude,Cyclone_Date,annual_pre_dates_start,annual_pre_dates_end,post_date_start,post_date_end,recovery_date_start,recovery_date_end,sub-annual_pre_dates_start,sub-annual_pre_dates_end,Cyclone_name,Cyclone_Year,Years_since_last_storm,soil P (mg/kg),MODIS_avail,annual_EVI_pre_250m,sd_annual _EVI_pre_250m,sub-annual_EVI_pre_250m,sd_sub-annual_EVI_pre_250m,EVI_post_250m,sd_post_EVI_250m,change_annual_EVI_250m,change_sub-annual_EVI_250m,annual_NDVI_pre_250m,sd_annual _NDVI_pre_250m,sub-annual_NDVI_pre_250m,sd_sub-annual_NDVI_pre_250m,NDVI_post_250m,sd_post_NDVI_250m,change_annual_NDVI_250m,change_sub-annual_NDVI_250m,annual_LAI_pre_500m,sd_annual _LAI_pre_500m,sub-annual_LAI_pre_500m,sd_sub-annual_LAI_pre_500m,LAI_post_500m,sd_post_LAI_500m,change_annual_LAI_500m,percent_change_annual_LAI_500m,change_sub-annual_LAI_500m,Landsat 5 or 8,N,Longitude,Latitude,annual_pre_dates_start,annual_pre_dates_end,post_date_start,post_date_end,sub-annual_pre_dates_start,sub-annual_pre_dates_end,sd_annual _NDVI_pre_90m,sub-annual_NDVI_pre_90m,sd_sub-annual_NDVI_pre_90m,NDVI_post_90m,sd_post_NDVI_90m,change_annual_NDVI_90m,change_sub-annual_NDVI_90m,NDVI_recovery_avail_90m,annual_EVI_pre_90m,sd_annual _EVI_pre_90m,sub-annual_EVI_pre_90m,sd_sub-annual _EVI_pre_90m,EVI_post_90m,sd_post_EVI_90m,change_annual_EVI_90m,change_sub-annual_EVI_90m,EVI_recovery_avail_90m,annual_kNDVI_pre_90m,sd_annual _kNDVI_pre_90m,sub-annual_kNDVI_pre_90m,sd_sub-annual _kNDVI_pre_90m,kNDVI_post_90m,sd_post_kNDVI_90m,change_annual_kNDVI_90m,change_sub-annual_kNDVI_90m,kNDVI_recovery_avail_90m,change_annual_NDVI_5km,change_sub-annual_NDVI_5km,Pre_Mean_Tot_Litterfall_g/m2/day,Response_Post_Mean_Tot_Litterfall,Subannual_Pre_mean_Tot_Litterfall,Pre_Mean_Leaf_fall,Response_Post_Mean_Leaf_fall,Subannual_Pre_Mean_Leaf_fall,peak_wind_speed_ms,WMO_wind_speed_ms,D2track_km,peak enhanced Fujita scale,peak wind direction (degrees),peak cardinal wind direction,gale wind duration (minutes),hurricane wind duration (minutes)
2,Benson & Pearson,Southwest Pacific,Australia,Australia,Ivor,Birthday Creek,146.1666667,-19,22-Mar-90,1989-03-21,1990-03-21,1990-03-23,1990-04-08,1990-03-23,1992-03-23,1979-03-21,1990-03-21,Ivor,1990,12.1,210,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,146.1666667,-19,1989-03-21,1990-03-21,1990-03-23,1990-04-08,1979-03-21,1990-03-21,X,0.735,0,0.691489204,x,-0.049537261,-0.059198362,Y,0.599629253,x,0.587,0,0.663047396,x,0.105762257,0.129552634,Y,0.485160629,x,0.493,0,0.44619351,x,-0.080317974,-0.09494217,Y,NA,NA,1.42,2.18,NA,1.11,0.96,NA,18,11.3,70,1,100,3,80,0
1,Benson & Pearson,Southwest Pacific,Australia,Australia,Aivu,Birthday Creek,146.1666667,-19,4-Apr-89,1988-04-03,1989-04-03,1989-04-05,1989-04-21,1989-04-05,1991-04-05,1979-04-03,1989-04-03,Aivu,1989,11.1,210,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,146.1666667,-19,1988-04-03,1989-04-03,1989-04-05,1989-04-21,1979-04-03,1989-04-03,X,0.686,0.049,NA,NA,NA,NA,Y,0.573452522,x,0.5275,0.0595,NA,NA,NA,NA,Y,0.4639734,x,x,x,NA,NA,NA,NA,Y,NA,NA,1.42,2.31,NA,1.11,1.47,NA,26,25.7,107,3,229,6,2030,0
3,Benson & Pearson,Southwest Pacific,Australia,Australia,Charlie,Birthday Creek,146.1666667,-19,29-Feb-88,1987-02-28,1988-02-28,1988-03-01,1988-03-17,1988-03-01,1990-03-01,1979-02-28,1988-02-28,Charlie,1988,10,210,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,146.1666667,-19,1987-02-28,1988-02-28,1988-03-01,1988-03-17,1979-02-28,1988-02-28,X,0.702,0,NA,NA,NA,NA,Y,0.596160633,x,0.603,0,NA,NA,NA,NA,Y,0.442730421,x,x,x,NA,NA,NA,NA,Y,-0.410264584,-0.30789,1.42,2.17,NA,1.11,0.99,NA,27,30.9,133,3,243,6,1310,0
4,Ostertag et al,North Atlantic,Caribbean,Puerto Rico,Georges,Bisley,-65.744506,18.315856,21-Sep-98,1997-09-20,1998-09-20,1998-09-22,1998-10-08,1998-09-22,2000-09-22,1997-09-20,1998-09-20,Georges,1998,2.2,320,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,-65.744506,18.315856,1997-09-20,1998-09-20,1998-09-22,1998-10-08,1997-09-20,1998-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.271490708,-0.33607,2.38,477,NA,NA,NA,NA,36,51.4,38,4,1,1,2400,420
5,Lodge et al,North Atlantic,Caribbean,Puerto Rico,Hugo,Bisley,-65.744506,18.315856,18-Sep-89,1988-09-17,1989-09-17,1989-09-19,1989-10-05,1989-09-19,1991-09-19,1985-09-17,1989-09-17,Hugo,1989,4.9,320,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,-65.744506,18.315856,1988-09-17,1989-09-17,1989-09-19,1989-10-05,1985-09-17,1989-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.457158651,-0.47346,2.38,1083,1.37,1.29,377,0.99,46,56.6,15,5,353,1,3780,1395
6,Liu et al,North Atlantic,Caribbean,Puerto Rico,Irma,Bisley,-65.744506,18.315856,6-Sep-17,2016-09-05,2017-09-05,2017-09-07,2017-09-23,2017-09-07,2019-09-07,2012-09-05,2017-09-05,Irma,2017,6,320,Y,4380.608696,1582.895798,"4,472",1093.5537,1021,0,-0.766927368,-0.771690519,6767.913043,2138.611453,7359,2393.2927,1702,0,-0.748519228,-0.768718576,29.19565217,24.83477538,37.6,25.066711,13.75,10.30473192,-0.529039464,-52.9039464,-0.634308511,8,6,-65.744506,18.315856,2016-09-05,2017-09-05,2017-09-07,2017-09-23,2012-09-05,2017-09-05,X,0.73475,0.03500268,NA,NA,NA,NA,Y,0.727338367,x,0.708975,0.09952481,NA,NA,NA,NA,Y,0.476052523,x,x,x,NA,NA,NA,NA,Y,-0.16007533,-0.2363,4.46,3183.27,2.96,4.27,1056.35,2.45,56,77.2,102,6,283,7,4110,1515
7,Liu et al,North Atlantic,Caribbean,Puerto Rico,Maria,Bisley,-65.744506,18.315856,20-Sep-17,2016-09-19,2017-09-19,2017-09-21,2017-10-07,2017-09-21,2019-09-21,2016-09-19,2017-09-19,Maria,2017,0.04,320,Y,4153.304348,1671.182826,4297,1638,2992,0,-0.27960974,-0.303700256,6538.26087,2373.750604,4192,2489.5,5291,0,-0.190763399,0.262166031,28.35869565,24.70195447,19.5,21.035684,8,3.535533906,-0.717899578,-71.7899578,-0.58974359,8,7,-65.744506,18.315856,2016-09-19,2017-09-19,2017-09-21,2017-10-07,2016-09-19,2017-09-19,X,0.777,0,NA,NA,NA,NA,Y,0.727338367,x,0.78975,0.09952481,NA,NA,NA,NA,Y,0.476052523,x,x,x,NA,NA,NA,NA,Y,NA,NA,4.46,39.24,2.96,4.27,35.1,2.45,56,69.4,28,6,17,1,5250,1605
8,NA,North Atlantic,Caribbean,Puerto Rico,Bertha,Bisley_Verde,-65.744506,18.315856,9-Jul-96,1995-07-08,1996-07-08,1996-07-10,1996-07-26,1996-07-10,1998-07-10,1995-07-08,1996-07-08,Bertha,1996,0.8,320,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,-65.744506,18.315856,1995-07-08,1996-07-08,1996-07-10,1996-07-26,1995-07-08,1996-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052907916,NA,1.9,8.11,NA,NA,NA,NA,26,39.6,69,3,239,6,1350,0
9,Martinez-Yrizar et al,Northeast Pacific,Mexico,Mexico,Jova,Chamela-Cuixmala,-104.9950178,19.4876991,12-Oct-11,2010-10-11,2011-10-11,2011-10-13,2011-10-29,2011-10-13,2013-10-13,2004-10-11,2011-10-11,Jova,2011,8,291,Y,4268.434783,1998.971362,5850,556.2375,3928,0,-0.079756351,-0.328547009,6382.565217,2033.487363,8605,205.30952,7486,0,0.172882649,-0.130040674,24.4673913,20.24655155,42.176471,19.835308,20,14.76482306,-0.182585518,-18.2585518,-0.525801957,5,9,-104.9950178,19.4876991,2010-10-11,2011-10-11,2011-10-13,2011-10-29,2004-10-11,2011-10-11,X,0.62766667,0.0899123,NA,NA,NA,NA,NA,0.250753333,x,0.555,0.15546275,NA,NA,NA,NA,NA,0.147139715,x,x,x,NA,NA,NA,NA,NA,-0.322081218,-0.40525,1.09,8.27,1.26,0.9,4.22,1.05,33,43.7,10,4,67,2,3375,60
10,Martinez-Yrizar et al,Northeast Pacific,Mexico,Mexico,Patricia,Chamela-Cuixmala,-104.9950178,19.4876991,23-Oct-15,2014-10-22,2015-10-22,2015-10-24,2015-11-09,2015-10-24,2017-10-24,2014-10-22,2015-10-22,Patricia,2015,0.4,291,Y,5271.521739,791.9606309,4016,0,4400,0,-0.165326405,0.09561753,7970.608696,759.0979624,6111,0,7061,0,-0.114120355,0.155457372,37.39130435,16.27812384,54.714286,5.06287,8.75,1.299038106,-0.765988372,-76.5988372,-0.84007833,8,10,-104.9950178,19.4876991,2014-10-22,2015-10-22,2015-10-24,2015-11-09,2014-10-22,2015-10-22,X,0.7728,0.054543194,0.47358601,x,-0.304024299,-0.387181664,Y,0.704983256,x,0.9132,0.19251327,0.399324791,x,-0.433568404,-0.562719239,Y,0.435722866,x,0.5346,0.0606386,0.213987507,x,-0.508890803,-0.59972408,Y,-0.199507995,-0.25161,1.09,14.01,1.75,0.9,7.86,1.05,63,61.7,10,7,61,2,2175,1365
