Study ID,Reference,Dist date,Dist name,Site group,Site name,Location,Longitude,Latitude,Holdridge,Broad Life Zone,soil P,rock_P_class,Distance_km,Storm_frequency,rainfall_mm,wind_kts,TL_pre_1,TL_post_1,Site group,TL_change_1,G_TL_1,LL_pre_1,LL_post_1,LL_change_1,G_LL_1,TL_pre_2,TL_post_2,TL_change_2,G_TL_2,LL_pre_2,LL_post_2,LL_change_2,G_LL_2,NDVI1_Extraction start date,NDVI1_old_Extraction end date,NDVI1_pre,NDVI_post,NDVI1,NDVI1_percent_increase,G_NDVI1_pre,G_NDVI_post,G_NDVI1,NDVI2_Extraction start date,NDVI2_Extraction end date,NDVI2_pre,NDVI_post,NDVI2,NDVI2_percent_increase,old_NDVI2,G_NDVI2_pre,G_NDVI2,Diff_btwn_2NDVI_metrics (NDVI1-NDVI2),,,
4 (should this be 9),Lodge et al,9/18/89,Hugo,1,El Verde,Puerto Rico,-65.8199501,18.321122,Subtropical Wet,Wet,340,High,15,0.32,175,110,2.31,1006,1,434.4978355,557.9253884,1.34,615,457.9552239,492.6567165,4.58,1006,218.650655,218.650655,1.7,615,360.7647059,360.7647059,9/18/88,9/25/89,1846,1208,-0.345612134,-34.56121343,1702,1087,-0.3613396,9/18/85,10/2/89,1946,1208,-0.37924,-37.92395,-0.3791,2049,-0.469497316,0.03363,,,"* Note repeats include: 39(2), 38(2), 55(2), 30(2), 9 & 18"
6,Ostertag et al,9/21/98,Georges,2,Cubuy,Puerto Rico,-65.8536639,18.2819211,Subtropical Moist,Moist,255,High,38,0.32,187.5,100,3.22,868,2,268.5652174,262.5940033,NA,NA,NA,NA,2.5,868,346.2,346.2,NA,NA,NA,NA,9/21/97,9/28/98,2252,1641,-0.271314387,-27.13143872,2210,1678,-0.240723982,9/21/97,10/5/98,2222,1641,-0.26148,-26.14761,-0.26154,2200,-0.237272727,-0.00984,,,* NDVI post for 1 and 2 are the same
6,Ostertag et al,9/21/98,Georges,2,Bisley,Puerto Rico,-65.744506,18.315856,Subtropical Wet,Wet,320,High,38,0.32,187.5,100,2.38,477,2,199.4201681,262.5940033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/21/97,9/28/98,2529,1842,-0.271490708,-27.14907078,2210,1678,-0.240723982,9/21/97,10/5/98,2775,1842,-0.33607,-33.60721,-0.33609,2200,-0.237272727,0.06458,,,
6,Ostertag et al,9/21/98,Georges,2,East Peak,Puerto Rico,-65.7459155,18.2662092,Subtropical Lowermontane Wet,Wet,140,High,38,0.32,187.5,100,1.41,290,2,204.6737589,262.5940033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/21/97,9/28/98,2467,1700,-0.310903932,-31.09039319,2210,1678,-0.240723982,9/21/97,10/5/98,2490,1700,-0.31739,-31.73936,-0.31752,2200,-0.237272727,0.00649,,,
6,Ostertag et al,9/21/98,Georges,2,East Peak,Puerto Rico,-65.8487139,18.2750278,Subtropical Lowermontane Wet,Wet,317.3,High,38,0.32,187.5,100,2.36,710,2,299.8474576,262.5940033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/21/97,9/28/98,2060,1610,-0.218446602,-21.84466019,2210,1678,-0.240723982,9/21/97,10/5/98,1978,1610,-0.18605,-18.60465,-0.18611,2200,-0.237272727,-0.0324,,,
6,Ostertag et al,9/21/98,Georges,2,East Peak,Puerto Rico,-65.75,18.266667,Subtropical Lowermontane Rain,Wet,260,High,38,0.32,187.5,100,0.82,280,2,340.4634146,262.5940033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/21/97,9/28/98,2467,1700,-0.310903932,-31.09039319,2210,1678,-0.240723982,9/21/97,10/5/98,2490,1700,-0.31739,-31.73936,-0.31752,2200,-0.237272727,0.00649,,,
9,Lodge et al,9/18/89,Hugo,1,East Peak,Puerto Rico,-65.75,18.266667,Subtropical Lowermontane Rain,Wet,260,High,15,0.32,300,110,0.85,580,1,681.3529412,557.9253884,0.67,354,527.358209,492.6567165,NA,NA,NA,NA,NA,NA,NA,NA,9/18/88,9/25/89,2033,1264,-0.378258731,-37.82587309,1702,1087,-0.3613396,9/18/85,10/2/89,2320,1264,-0.45517,-45.51724,-0.45523,2049,-0.469497316,0.07691,,,
25 (not in large dataset),NA,9/18/89,Hugo,1,NA,Puerto Rico,-65.744506,18.315856,Subtropical Wet,Wet,,NA,,,,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/18/88,9/25/89,1809,982,-0.457158651,-45.71586512,1702,1087,-0.3613396,9/18/85,10/2/89,1865,982,-0.47346,-47.34584,-0.47374,2049,-0.469497316,0.0163,,,
31,Lugo et al,9/21/98,Georges,NA,Utuado,Puerto Rico,-66.7032959,18.268457,Subtropical Moist,Moist,330,High,30,0.22,187.5,92.5,3.64,727.9,NA,198.9725275,198.9725275,2.03,160.05,77.84236453,77.84236453,NA,NA,NA,NA,NA,NA,NA,NA,9/21/97,9/28/98,2127,1274,-0.401034321,-40.10343206,NA,NA,-0.401034321,9/21/97,10/5/98,2092,1274,-0.39101,-39.10134,-0.391,NA,-0.39101,-0.01002,,,
35,Van Bloem et al,9/21/98,Georges,NA,Guanica,Puerto Rico,-66.8744444,17.9715278,Subtropical Dry,Dry,500,Intermediate,20,0.22,187.5,97,1.31,748.2,NA,570.1450382,570.1450382,1.19,238.7,199.5882353,199.5882353,NA,NA,NA,NA,0.7,238.7,340,340,9/21/97,9/28/98,2555,2488,-0.026223092,-2.622309198,NA,NA,-0.026223092,9/21/97,10/5/98,2190,2488,0.13607,13.60731,0.13623,NA,0.13607,-0.1623,,,
