N,Authors,Basin,Region,Area,Site,Elevation_m,Cyclone_name,Forest_type,Holdridge_ID,Holdridge_life_zone,MAT_MAP_ratio_X100,soil_P,Parent_material,Cyclone_frequency,Years_since_last_storm,Longitude,Latitude,Cyclone_Date,annual_pre_dates_start,annual_pre_dates_end,post_date_start,post_date_end,recovery_date_start,recovery_date_end,sub-annual_pre_dates_start,sub-annual_pre_dates_end,Cyclone_Year,MODIS_avail,annual_EVI_pre_250m,sd_annual _EVI_pre_250m,sub-annual_EVI_pre_250m,sd_sub-annual_EVI_pre_250m,EVI_post_250m,sd_post_EVI_250m,change_annual_EVI_250m,change_sub-annual_EVI_250m,annual_NDVI_pre_250m,sd_annual _NDVI_pre_250m,sub-annual_NDVI_pre_250m,sd_sub-annual_NDVI_pre_250m,NDVI_post_250m,sd_post_NDVI_250m,change_annual_NDVI_250m,change_sub-annual_NDVI_250m,annual_LAI_pre_500m,sd_annual _LAI_pre_500m,sub-annual_LAI_pre_500m,sd_sub-annual_LAI_pre_500m,LAI_post_500m,sd_post_LAI_500m,change_annual_LAI_500m,change_sub-annual_LAI_500m,Landsat 5 or 8,annual _NDVI_pre_90m,sd_annual _NDVI_pre_90m,sub-annual_NDVI_pre_90m,sd_sub-annual_NDVI_pre_90m,NDVI_post_90m,sd_post_NDVI_90m,change_annual_NDVI_90m,change_sub-annual_NDVI_90m,NDVI_recovery_avail_90m,annual_EVI_pre_90m,sd_annual _EVI_pre_90m,sub-annual_EVI_pre_90m,sd_sub-annual _EVI_pre_90m,EVI_post_90m,sd_post_EVI_90m,change_annual_EVI_90m,change_sub-annual_EVI_90m,EVI_recovery_avail_90m,annual_kNDVI_pre_90m,sd_annual _kNDVI_pre_90m,sub-annual_kNDVI_pre_90m,sd_sub-annual _kNDVI_pre_90m,kNDVI_post_90m,sd_post_kNDVI_90m,change_annual_kNDVI_90m,change_sub-annual_kNDVI_90m,kNDVI_recovery_avail_90m,change_annual_NDVI_5km,change_sub-annual_NDVI_5km,Pre_Mean_Tot_Litterfall_g/m2/day,Response_Post_Mean_Tot_Litterfall,Subannual_Pre_mean_Tot_Litterfall,Cyclone_Rainfall_mm,peak_wind_speed_ms,WMO_wind_speed_ms,D2track_km,peak enhanced Fujita scale,gale wind duration (minutes),hurricane wind duration (minutes)
3,Benson & Pearson,Southwest Pacific,Australia,Australia,Birthday Creek,860,Charlie,Simple Notophyll Vine,2,Tropical Moist,1.049,210,Granite,0.29,10,146.1666667,-19,29-Feb-88,2/28/87,2/28/88,3/1/88,3/17/88,3/1/88,3/1/90,2/28/79,2/28/88,1988,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,0.691989697,0.024075923,0.702,0,-9999,-9999,-9999,-9999,Y,0.596160633,0.009152391,0.603,0,-9999,-9999,-9999,-9999,Y,0.442730421,0.024075923,0.191,0,-9999,-9999,-9999,-9999,Y,-0.410264584,-0.30789,1.42,2.17,-9999,100,27,30.9,133,3,1310,0
1,Benson & Pearson,Southwest Pacific,Australia,Australia,Birthday Creek,860,Aivu,Simple Notophyll Vine,2,Tropical Moist,1.049,210,Granite,0.29,11.1,146.1666667,-19,4-Apr-89,4/3/88,4/3/89,4/5/89,4/21/89,4/5/89,4/5/91,4/3/79,4/3/89,1989,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,0.710411048,0.055322676,0.686,0.049,-9999,-9999,-9999,-9999,Y,0.573452522,0.014059882,0.5275,0.0595,-9999,-9999,-9999,-9999,Y,0.4639734,0.055322676,0.25,0.035,-9999,-9999,-9999,-9999,Y,-9999,-9999,1.42,2.31,-9999,581,26,25.7,107,3,2030,0
2,Benson & Pearson,Southwest Pacific,Australia,Australia,Birthday Creek,860,Ivor,Simple Notophyll Vine,2,Tropical Moist,1.049,210,Granite,0.29,12.1,146.1666667,-19,22-Mar-90,3/21/89,3/21/90,3/23/90,4/8/90,3/23/90,3/23/92,3/21/79,3/21/90,1990,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,0.727528998,0.024896836,0.735,0,0.691489204,0,-0.049537261,-0.059198362,Y,0.599629253,0.003226238,0.587,0,0.663047396,0,0.105762257,0.129552634,Y,0.485160629,0.024896836,0.493,0,0.44619351,0,-0.080317974,-0.09494217,Y,-9999,-9999,1.42,2.18,-9999,120,18,11.3,70,1,80,0
5,Lodge et al,North Atlantic,Caribbean,Puerto Rico,Bisley,425,Hugo,Tabonuco,9,Subtropical Wet,0.657,320,Volcaniclastic,0.32,4.9,-65.744506,18.315856,18-Sep-89,9/17/88,9/17/89,9/19/89,10/5/89,9/19/89,9/19/91,9/17/85,9/17/89,1989,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-0.457158651,-0.47346,2.38,1083,1.37,210,46,56.6,15,5,3780,1395
6,Liu et al,North Atlantic,Caribbean,Puerto Rico,Bisley,319,Irma,Tabonuco,9,Subtropical Wet,0.657,320,Volcaniclastic,0.32,6,-65.744506,18.315856,6-Sep-17,9/5/16,9/5/17,9/7/17,9/23/17,9/7/17,9/7/19,9/5/12,9/5/17,2017,Y,4380.608696,1582.895798,"4,472",1093.5537,1021,0,-0.766927368,-0.771690519,6767.913043,2138.611453,7359,2393.2927,1702,0,-0.748519228,-0.768718576,29.19565217,24.83477538,37.6,25.066711,13.75,10.30473192,-0.529039464,-0.634308511,8,0.72657506,0.038336153,0.73475,0.03500268,-9999,-9999,-9999,-9999,Y,0.727338367,0.219859303,0.708975,0.09952481,-9999,-9999,-9999,-9999,Y,0.476052523,0.038336153,0.53875,0.01864638,-9999,-9999,-9999,-9999,Y,-0.16007533,-0.2363,4.46,3183.27,2.96,300,56,77.2,102,6,4110,1515
7,Liu et al,North Atlantic,Caribbean,Puerto Rico,Bisley,319,Maria,Tabonuco,9,Subtropical Wet,0.657,320,Volcaniclastic,0.32,0.04,-65.744506,18.315856,20-Sep-17,9/19/16,9/19/17,9/21/17,10/7/17,9/21/17,9/21/19,9/19/16,9/19/17,2017,Y,4153.304348,1671.182826,4297,1638,2992,0,-0.27960974,-0.303700256,6538.26087,2373.750604,4192,2489.5,5291,0,-0.190763399,0.262166031,28.35869565,24.70195447,19.5,21.035684,8,3.535533906,-0.717899578,-0.58974359,8,0.72657506,0.038336153,0.777,0,-9999,-9999,-9999,-9999,Y,0.727338367,0.219859303,0.78975,0.09952481,-9999,-9999,-9999,-9999,Y,0.476052523,0.038336153,0.53875,0.01864638,-9999,-9999,-9999,-9999,Y,-9999,-9999,4.46,39.24,2.96,300,56,69.4,28,6,5250,1605
4,Ostertag et al,North Atlantic,Caribbean,Puerto Rico,Bisley,425,Georges,Tabonuco,9,Subtropical Wet,0.657,320,Volcaniclastic,0.32,2.2,-65.744506,18.315856,21-Sep-98,9/20/97,9/20/98,9/22/98,10/8/98,9/22/98,9/22/00,9/20/97,9/20/98,1998,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-0.271490708,-0.33607,2.38,477,-9999,187.5,36,51.4,38,4,2400,420
8,Beard et al,North Atlantic,Caribbean,Puerto Rico,Bisley_Verde,340,Bertha,Tabonuco,9,Subtropical Wet,0.657,320,Volcaniclastic,0.32,0.8,-65.744506,18.315856,9-Jul-96,7/8/95,7/8/96,7/10/96,7/26/96,7/10/96,7/10/98,7/8/95,7/8/96,1996,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,0.052907916,-9999,1.9,8.11,-9999,282,26,39.6,69,3,1350,0
9,Martinez-Yrizar et al,Northeast Pacific,Mexico,Mexico,Chamela-Cuixmala,300,Jova,Deciduous dry,1,Tropical Dry,3.2,291,Rhyolitic Rhyodacitic Volcanic,0.42,8,-104.9950178,19.4876991,12-Oct-11,10/11/10,10/11/11,10/13/11,10/29/11,10/13/11,10/13/13,10/11/04,10/11/11,2011,Y,4268.434783,1998.971362,5850,556.2375,3928,0,-0.079756351,-0.328547009,6382.565217,2033.487363,8605,205.30952,7486,0,0.172882649,-0.130040674,24.4673913,20.24655155,42.176471,19.835308,20,14.76482306,-0.182585518,-0.525801957,5,0.346931303,0.110466024,0.62766667,0.0899123,-9999,-9999,-9999,-9999,N,0.250753333,0.057053689,0.555,0.15546275,-9999,-9999,-9999,-9999,N,0.147139715,0.110466024,0.096,0.081,-9999,-9999,-9999,-9999,N,-0.322081218,-0.40525,1.09,8.27,1.26,187.9,33,43.7,10,4,3375,60
10,Martinez-Yrizar et al,Northeast Pacific,Mexico,Mexico,Chamela-Cuixmala,300,Patricia,Deciduous dry,1,Tropical Dry,3.2,291,Rhyolitic Rhyodacitic Volcanic,0.42,0.4,-104.9950178,19.4876991,23-Oct-15,10/22/14,10/22/15,10/24/15,11/9/15,10/24/15,10/24/17,10/22/14,10/22/15,2015,Y,5271.521739,791.9606309,4016,0,4400,0,-0.165326405,0.09561753,7970.608696,759.0979624,6111,0,7061,0,-0.114120355,0.155457372,37.39130435,16.27812384,54.714286,5.06287,8.75,1.299038106,-0.765988372,-0.84007833,8,0.680463426,0.067318833,0.7728,0.054543194,0.47358601,0.000202118,-0.304024299,-0.387181664,Y,0.704983256,0.151963655,0.9132,0.19251327,0.399324791,0.003099435,-0.433568404,-0.562719239,Y,0.435722866,0.067318833,0.5346,0.0606386,0.213987507,0.000202118,-0.508890803,-0.59972408,Y,-0.199507995,-0.25161,1.09,14.01,1.75,142.6,63,61.7,10,7,2175,1365
